Sex,Gender,Age,Ethnicity,Age Group,Region,RegionName,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,Male,11,1,1,1,NE,15878,16903,19000,16215,15056,15874,19986,15605,15243,14419,19037,17826,15272,14975,19022,14093,18510,13107,16318,18211,15573,15554
1,Male,12,1,1,1,NE,18509,17095,16801,15228,16808,21142,17662,19401,20667,15732,16726,15419,17567,15480,18741,13213,18309,13928,13005,15040,13489,13670
1,Male,13,1,1,1,NE,13970,17849,16521,14393,17123,15181,15271,17759,17472,14816,19281,14660,17470,15186,16576,16632,13998,14190,19620,13976,13322,15526
1,Male,14,1,1,1,NE,14972,14568,18496,14515,16721,15618,17923,20855,17236,18019,17515,16843,14676,21425,13478,13561,19740,14887,13872,15063,13762,13180
1,Male,15,1,1,1,NE,15798,15858,15675,15035,21764,15923,18243,16880,17800,15436,15014,21064,18419,15131,16101,16353,15129,19340,14109,16662,18740,13276
1,Male,16,1,2,1,NE,14113,13711,14790,18581,20644,15137,19621,18707,15788,18849,14906,14956,15798,23538,14610,15958,19678,14526,14809,20620,13617,14191
1,Male,17,1,2,1,NE,13874,15056,16968,17157,16055,20207,14714,17792,17956,15688,16479,16030,15016,17893,16750,20850,17515,13862,17657,14157,21984,17563
1,Male,18,1,3,1,NE,16534,15370,15433,14284,14594,15347,20016,19053,14932,18895,17732,18073,16915,22151,15058,16723,22233,15003,14794,18692,17425,20056
1,Male,19,1,3,1,NE,22389,17127,17101,16384,18415,16140,21396,17905,18179,17609,24073,21348,21182,20359,18167,27460,18300,17753,16840,18096,18406,20062
1,Male,20,1,4,1,NE,18741,17265,25656,16433,17292,18148,20862,22406,19147,18145,23299,24442,19182,25360,21784,19032,23387,20205,25198,23238,18711,20832
1,Male,21,1,4,1,NE,18097,18053,19057,21803,19217,20026,17194,19931,20524,18834,18742,23973,22393,21662,19661,23479,18930,20390,19224,18761,17855,17072
1,Male,22,1,4,1,NE,22147,18511,18423,25024,15807,16040,22960,16185,18593,16500,21951,16971,17041,21158,19335,18912,18841,18987,18463,20370,20379,19519
1,Male,23,1,4,1,NE,20615,20528,16570,20625,17122,20457,18769,15740,15457,18284,17503,16885,19582,17892,17238,18129,19282,19399,22866,21187,23379,17016
1,Male,24,1,4,1,NE,18430,16384,16367,16634,16124,18459,16473,16743,18670,16611,18598,15403,20346,18517,16011,16840,17430,21707,25514,19943,16558,23363
1,Male,25,1,5,1,NE,17607,19174,19773,20323,15935,16990,15791,15722,17471,17864,16883,19077,16849,20308,15831,21093,17673,20576,20781,17212,17060,19692
1,Male,26,1,5,1,NE,17405,21043,17388,16380,23387,15920,18468,15318,15123,19223,15279,16542,16368,16713,16262,23113,17413,16809,16554,22152,21707,21821
1,Male,27,1,5,1,NE,20008,16880,19172,19226,16915,16762,17710,22042,17760,17938,16292,15229,16012,17182,14808,19275,18390,15918,23137,20759,20301,23304
1,Male,28,1,5,1,NE,18729,18360,16623,17159,16848,17261,20139,16912,18885,19827,17599,15234,15335,20278,16678,15740,15157,15623,20125,19160,17033,18766
1,Male,29,1,5,1,NE,16683,17637,17262,22563,18481,23385,15857,15793,15156,19657,17828,17879,14826,14972,19261,13847,20617,15374,15930,19632,21913,21607
1,Male,30,1,5,1,NE,17827,17818,24536,18762,23343,16836,21676,18500,16713,15372,17239,16321,19912,14423,17971,19710,18399,17151,18266,17648,15402,17323
1,Male,31,1,5,1,NE,17907,17676,17354,20135,21693,18785,16687,16170,20441,15306,16908,20694,19775,20319,17775,15790,14579,18044,16567,14575,20920,15400
1,Male,32,1,5,1,NE,15969,16505,20151,18655,17893,18245,18857,18055,16993,24780,16639,17411,15429,15928,14920,13969,21475,19289,16534,16098,19118,15395
1,Male,33,1,5,1,NE,18361,21962,17839,17139,18748,23182,17323,18717,19655,16260,20228,19461,20258,19009,15138,14687,14765,15906,15606,15451,15033,17317
1,Male,34,1,5,1,NE,19421,15906,15380,18915,16251,19211,18347,17413,16543,19733,15467,15543,16846,16538,18385,15045,13964,20462,14583,21545,21947,15275
1,Male,35,1,6,1,NE,14661,18253,16278,21023,17191,16755,18478,22498,20675,20770,16353,17022,15513,15641,14667,19269,14730,16608,14309,19276,19475,15031
1,Male,36,1,6,1,NE,22671,14417,23337,16003,16394,16190,19092,21908,20641,19029,16383,17469,21549,19206,14907,20370,20676,16811,16035,18127,15002,22114
1,Male,37,1,6,1,NE,14767,15510,14329,17304,20891,16834,19458,18983,18634,21940,17456,17086,17254,16467,17745,17617,15137,17524,18416,15462,14170,15303
1,Male,38,1,6,1,NE,16712,16667,15198,18160,15826,21123,15372,22983,17425,19246,18288,17593,16744,16646,21628,19040,22045,19501,17818,19170,18626,15259
1,Male,39,1,6,1,NE,18472,16304,14625,19481,15427,17163,16138,15203,18292,20298,18176,17857,16836,22730,20113,15464,17688,15907,16709,15761,15826,15133
1,Male,40,1,6,1,NE,19148,14817,14880,14396,15531,16994,19490,18316,18615,15706,16138,18443,20738,18955,16285,16370,19111,15793,15779,19685,16751,14389
1,Male,41,1,6,1,NE,13825,14835,19803,17874,18049,15713,17456,16252,16206,21543,18931,17041,20107,18138,17732,21781,18242,18486,16338,16739,17034,17408
1,Male,42,1,6,1,NE,12426,20526,14447,16688,18419,19902,15511,19401,15826,16949,19909,15575,16294,22517,17629,19804,16761,18083,18886,15251,15875,20228
1,Male,43,1,6,1,NE,14723,17454,13017,16057,19267,20402,14285,14826,15957,15282,19591,17274,17640,17155,22757,19254,17195,22387,24127,18429,23610,17673
1,Male,44,1,6,1,NE,14061,14196,12721,16129,14383,18483,19133,14297,15197,14373,18889,16033,15602,19594,21827,23616,21378,20745,16946,17604,18348,17060
1,Male,45,1,7,1,NE,16111,14119,19929,12248,14326,15565,14490,15162,15832,16628,17841,17623,20375,19028,19070,19675,17308,22853,17279,20255,16243,16059
1,Male,46,1,7,1,NE,16296,13874,13891,21597,19053,15310,15337,18687,16236,17091,19442,17983,15596,17813,15633,16744,15670,18260,21415,16857,16622,17516
1,Male,47,1,7,1,NE,17569,15514,15389,15385,13612,13557,18309,17654,15084,21337,15675,14262,15875,17196,16967,21467,16329,18708,16561,20967,19217,16341
1,Male,48,1,7,1,NE,17258,24797,16060,14011,13160,13116,13013,20649,17195,17469,14707,14391,17197,17564,15816,18105,18302,16201,17872,16723,19185,24053
1,Male,49,1,7,1,NE,18371,21295,19774,15169,19839,18203,14039,13099,13967,16476,15163,16606,23485,14832,18570,21648,16724,17779,19518,21821,16763,18104
1,Male,50,1,7,1,NE,18141,21951,25545,16460,15390,14884,13681,13706,16365,12866,19315,15634,17039,14076,16555,17680,20650,16974,17565,22999,16458,19368
1,Male,51,1,7,1,NE,17909,22734,21890,23086,18083,17711,14143,13276,13730,12396,13588,21590,15209,14356,18167,14907,14340,16854,18634,15221,16764,19090
1,Male,52,1,7,1,NE,25003,16993,18396,18005,17502,18699,15194,13820,16187,13139,12917,15545,14047,14969,15691,18167,14362,15095,20473,17301,14943,20604
1,Male,53,1,7,1,NE,19535,21010,18426,17254,23448,19275,15910,20692,14118,17744,14405,14992,15280,15881,15132,19278,22328,15454,16307,20719,20738,15360
1,Male,54,1,7,1,NE,18720,21989,17281,20825,18745,19218,17421,21477,21664,13828,16191,13220,12325,15604,15437,15300,15819,20929,20383,18381,15718,15904
1,Male,55,1,8,1,NE,21263,21344,19788,22981,16850,21896,16619,17068,16791,16554,19905,13375,15794,13793,15845,17294,17124,15035,14504,20829,18027,21221
1,Male,56,1,8,1,NE,21436,19984,18912,27442,23539,23195,17195,17174,18477,24722,15377,16761,19903,12868,13058,14765,14254,14674,17421,14131,14572,16245
1,Male,57,1,8,1,NE,19419,19752,20103,20488,18476,24835,22697,16955,16392,16904,18798,19693,14344,17628,12851,14092,12825,19920,20874,14611,15772,18264
1,Male,58,1,8,1,NE,18234,20827,20134,19217,18568,18530,18315,16682,17828,22474,20686,17672,16736,17542,16631,18753,14203,13323,14580,16085,18609,23941
1,Male,59,1,8,1,NE,17280,17797,19192,19622,19920,19866,17936,24048,25052,18042,17001,17340,16466,16180,17893,19770,14891,12972,16000,15247,15150,15065
1,Male,60,1,8,1,NE,25375,19076,20511,19208,26101,18496,21723,18141,17671,23257,16889,19288,16791,18148,16379,15029,13172,14544,12801,18553,14816,15552
1,Male,61,1,8,1,NE,21907,17027,19018,21202,21794,19769,18788,21135,21815,21791,16877,19718,23120,24377,19054,17798,19001,15976,14877,12996,16756,19082
1,Male,62,1,8,1,NE,19101,17187,19861,23972,17195,26704,26271,18295,18232,20829,19176,16889,19528,19014,24055,19593,22727,15183,13238,13651,17837,13110
1,Male,63,1,8,1,NE,17242,18294,16737,16987,16978,21808,25814,19216,19263,22984,18371,22723,17398,16482,15938,19657,23263,22944,14599,17939,17369,16748
1,Male,64,1,8,1,NE,19609,20707,16460,22782,17971,19244,20168,20016,17954,18845,18980,18668,19583,23938,16987,17068,19344,15922,17556,17181,13491,15240
1,Male,65,1,8,1,NE,15808,18983,17447,21227,19307,21477,25582,16833,19636,18401,18651,23601,20757,24456,16306,19181,16384,19358,19350,14734,15616,16786
1,Male,66,1,8,1,NE,18904,14944,18557,15247,19379,20462,16529,21762,19915,18250,18237,23397,17803,18692,18318,19848,17024,23800,18044,16412,18336,19852
1,Male,67,1,9,1,NE,15451,14541,15696,16240,24188,19908,22253,17201,16371,16957,21830,20983,18343,17584,22338,19159,18632,22025,22989,20370,17475,19601
1,Male,68,1,9,1,NE,16214,22441,17042,14747,14414,14727,20939,15958,20427,19582,18723,21506,17958,19081,20088,19572,17616,17384,15798,20205,19306,15400
1,Male,69,1,9,1,NE,16631,17134,14887,14611,18244,20271,17461,18482,18504,17456,16765,17269,19702,18505,17186,17323,20257,16603,22256,16235,19305,21190
1,Male,70,1,9,1,NE,15382,13988,16917,14232,17780,15767,19516,14321,19677,25040,17715,20200,18475,18039,17509,17533,17204,16933,23618,16944,21630,22699
1,Male,71,1,9,1,NE,20812,15045,14234,13755,16083,16842,14313,16767,15341,18375,15386,19815,15840,15639,25852,18766,16731,16592,17648,16097,16886,15696
1,Male,72,1,9,1,NE,16571,17172,19232,13810,13449,14022,13815,17289,15289,16123,15075,16170,19213,20044,22567,18013,16456,18562,18484,19587,21757,17013
1,Male,73,1,9,1,NE,19072,19427,21695,16912,18290,12919,18452,17729,14482,13858,15833,15119,18842,15278,16866,15274,15841,16643,19012,17507,17530,15262
1,Male,74,1,9,1,NE,17344,14961,16087,22777,14432,20569,14728,19088,13770,17313,16829,18587,14202,14602,19871,15508,16173,16430,15756,15954,24167,19039
1,Male,75,1,9,1,NE,12547,13361,19100,16839,14967,15848,17451,16450,12802,16343,15494,18811,15252,16144,14287,18939,14795,14737,16999,15852,18864,18010
1,Male,76,1,9,1,NE,13235,11269,10786,13157,19146,13424,15338,13787,12647,16809,17841,12876,15692,16360,14975,14869,15405,13696,14337,15914,16484,15325
1,Male,77,1,9,1,NE,13721,12777,10677,11911,13055,23757,20636,17131,13794,17073,12078,13312,13309,20545,14248,19811,17652,13230,14284,16019,14943,15921
1,Male,78,1,9,1,NE,8684,14224,11754,9801,18673,14404,14064,17250,15978,12438,13918,11034,11323,13286,12020,19594,21157,13339,14896,15286,17374,14942
1,Male,79,1,9,1,NE,9590,8150,11086,14199,9946,11812,10509,13511,14899,14253,14168,18840,11613,10780,11587,13510,12067,16559,17254,19880,14319,17209
1,Male,80,1,9,1,NE,9849,9806,7506,15228,11864,11948,13365,11230,12746,11912,16625,16787,12514,14912,13301,11546,12711,17724,15191,11850,12251,14310
1,Male,81,1,9,1,NE,12277,8707,7682,8660,8596,8003,9027,10074,11862,17399,11359,12460,15979,11582,13228,11510,13719,13013,10478,15792,14529,12017
1,Male,82,1,9,1,NE,8777,9404,10020,6722,7089,8345,8537,7782,9221,8520,20089,9887,10433,11691,15264,13376,13509,10678,11346,10430,16954,12920
1,Male,83,1,9,1,NE,11400,6255,7537,7078,6515,8691,13717,13713,10683,15015,10416,10821,9142,18481,11799,8452,9687,9233,15496,17077,14768,12376
1,Male,84,1,9,1,NE,12252,8439,9822,6367,9033,11358,10999,5692,6932,12028,8018,8088,11209,10657,9769,12402,10751,8315,8876,8368,10541,11007
1,Male,85,1,9,1,NE,6849,8465,4765,5963,7069,5922,5851,11708,7532,11884,15174,13861,7241,14185,10486,8821,9966,7253,8410,10524,16223,8076
1,Male,86,1,9,1,NE,6076,4370,5011,6805,6653,5970,7860,4496,9177,11140,6199,5542,6022,8762,10952,7586,12126,11020,12334,10122,13422,14060
1,Male,87,1,9,1,NE,5869,9408,6024,5033,4908,6384,8114,9131,4547,7542,5182,9460,9061,11313,5978,8139,13872,12286,8642,6081,8429,15838
1,Male,88,1,9,1,NE,5456,5754,3486,7433,8705,6206,5328,3751,4621,4510,4645,5692,6497,10058,6434,6250,6722,8502,9580,5772,5186,6097
1,Male,89,1,9,1,NE,4573,2682,2613,3530,3584,2883,3820,5387,6116,8135,9585,5574,3056,9176,5712,7553,4622,8426,9517,7028,6592,13737
1,Male,90+,1,9,1,NE,8246,10604,13646,8867,9919,10396,11888,10645,10237,11707,10746,12336,14599,16361,13536,12992,14920,15346,15412,17171,24290,20417
1,Male,0,1,1,2,NW,35780,37082,33851,33815,36164,37678,34052,37005,35578,31815,35798,32354,38212,36031,31655,31893,35565,38609,32683,38651,38822,34730
1,Male,1,1,1,2,NW,35288,42704,36277,33744,38539,34497,33584,32892,32812,32251,34083,32835,32621,33217,34748,37123,39165,34745,33318,33815,35033,34112
1,Male,2,1,1,2,NW,40492,36410,34543,36626,34939,37449,38372,37581,32811,33874,36280,37564,39215,39797,37401,36671,33948,32374,34849,36088,36016,36759
1,Male,3,1,1,2,NW,40846,46279,36715,37509,38471,34784,34121,34489,33193,33040,36272,35908,37141,40937,32682,34162,37500,34130,35784,32960,38378,36776
1,Male,4,1,1,2,NW,39649,40284,39199,39069,41038,37471,34659,33951,33601,36772,36968,37127,37774,33185,35806,33200,39290,35984,33988,37457,39038,35815
1,Male,5,1,1,2,NW,44544,37705,41226,37766,37461,40468,37921,38448,34995,33847,38011,35464,35895,36853,33176,38981,42037,39161,33570,39303,33717,35315
1,Male,6,1,1,2,NW,44119,44894,39243,42402,37788,36247,35694,41118,35108,37596,34882,34448,37739,37413,34836,34768,33704,37771,37310,33427,36703,37665
1,Male,7,1,1,2,NW,40507,45398,38337,43577,43150,37701,39463,36988,39706,34663,37641,38070,37263,35401,34339,36199,34843,35166,39980,36299,39068,33283
1,Male,8,1,1,2,NW,39558,41651,39426,38267,41840,40319,39967,37350,35895,36837,38443,34440,40440,34468,35666,36197,37972,34611,35629,35714,36044,38058
1,Male,9,1,1,2,NW,37989,39086,47047,41331,45446,40560,42233,43207,41387,43916,39765,35321,38886,34213,34989,35569,35179,35742,35430,36990,36388,36407
1,Male,10,1,1,2,NW,40456,38994,42876,42037,44225,47939,41793,41005,42104,40868,37537,37474,38539,36131,35809,36007,34621,35637,35870,33790,34572,34738
1,Male,11,1,1,2,NW,39271,41076,38906,40177,41624,42423,41443,40229,43945,38661,43649,38638,35758,36058,37439,36278,36960,35782,35484,34587,34355,37197
1,Male,12,1,1,2,NW,37029,39082,39184,39824,44164,41208,43835,42899,41049,40474,40016,38163,38560,37804,39857,36115,38364,38365,34739,35843,35625,40081
1,Male,13,1,1,2,NW,37158,37739,39784,40450,41718,42841,40585,40044,44426,42809,43606,40373,43496,36521,36379,40673,35901,35253,35375,36327,35219,36758
1,Male,14,1,1,2,NW,43940,40850,37779,46358,38543,43376,40213,41132,40612,45850,39986,41468,46622,44280,37400,36059,38005,37660,35665,41727,37873,39442
1,Male,15,1,1,2,NW,44185,35651,45820,37475,47691,42172,39179,41764,47003,41215,44462,40179,44221,40742,42646,45351,37778,36503,35536,40037,35184,36298
1,Male,16,1,2,2,NW,35659,38191,35359,39625,37637,39556,39511,38946,40225,42111,46156,41520,40715,41354,41626,37994,40833,36459,39345,40659,37181,38654
1,Male,17,1,2,2,NW,38018,37744,36604,42019,37323,40213,41536,39445,42731,44741,46428,41583,42785,44948,49184,41185,39762,38179,42403,38875,39492,36412
1,Male,18,1,3,2,NW,37417,34432,34879,39328,36303,41000,39705,39376,39202,43064,40205,50501,40091,40342,41105,46170,42723,45980,38867,40292,41798,38402
1,Male,19,1,3,2,NW,36936,41701,36244,36116,37785,37623,41212,44863,45492,40030,39989,44022,47777,43048,41583,40628,41169,48609,46144,39500,43971,36466
1,Male,20,1,4,2,NW,43550,39434,37989,37155,36667,39035,45079,41071,43608,45891,42282,42058,41773,47695,42118,41417,41977,43862,40946,45874,45160,43996
1,Male,21,1,4,2,NW,41552,41752,39155,37921,37489,37544,38083,39841,43178,44288,44426,42369,42173,42877,43978,43062,42521,48436,42276,45708,41109,47095
1,Male,22,1,4,2,NW,42201,40154,41121,38798,40166,37105,37799,39703,41514,47003,44343,44013,43137,43757,45152,45481,45831,44741,44985,43049,46529,40521
1,Male,23,1,4,2,NW,44340,42339,43698,46394,47601,39341,37728,46264,40044,41669,44227,44582,50649,45839,46194,44793,44581,45966,42891,44562,49662,46124
1,Male,24,1,4,2,NW,41319,47777,41926,46095,40883,43731,40830,37754,42137,41316,42968,41377,40893,48085,43626,42635,45638,45153,43294,44914,48397,46263
1,Male,25,1,5,2,NW,47135,44660,44352,43426,41915,41157,39787,38385,37894,38344,40183,38425,43435,43686,43161,46497,43487,45073,45607,46684,44327,43218
1,Male,26,1,5,2,NW,47873,49081,42703,45788,44336,46121,40579,42273,39999,37836,42430,39725,40482,40186,40724,48491,43473,42795,47210,46007,42952,45194
1,Male,27,1,5,2,NW,51362,46252,43004,43858,42107,47658,42764,41789,43987,39750,39262,44086,39301,41307,40059,44111,43988,42861,44445,43552,44763,44010
1,Male,28,1,5,2,NW,45875,49751,44759,43759,42761,41656,44207,43114,42495,39059,41819,40757,40137,38497,39110,45808,42337,42065,42135,45316,46135,44981
1,Male,29,1,5,2,NW,45580,49528,50489,43722,45125,41346,50703,42962,40908,44850,40360,39468,36997,38583,41549,37768,47439,41527,43302,42103,41862,43190
1,Male,30,1,5,2,NW,43552,46017,46361,47571,46858,45834,48891,42014,42194,44662,43080,39683,38117,37877,38206,40828,43106,41350,46617,50357,44911,42666
1,Male,31,1,5,2,NW,45867,44617,48783,46616,45434,45883,43133,40979,45446,42722,46073,40645,47925,38431,41597,37443,40720,40291,39831,48248,41769,42951
1,Male,32,1,5,2,NW,43951,48370,43793,48888,46206,52056,46978,47202,41582,47482,41714,41931,42793,42562,37661,38181,38884,40798,38721,40336,40517,45973
1,Male,33,1,5,2,NW,42598,42444,44962,45040,44002,47747,47476,46269,46126,46623,43892,45317,43316,42693,38852,38144,37665,39847,38955,40208,40280,45296
1,Male,34,1,5,2,NW,42158,42238,41410,43256,48961,48958,49641,44235,47489,42524,42004,44780,42014,49610,43529,40099,37962,37792,42534,39922,39238,39657
1,Male,35,1,6,2,NW,40578,47195,41994,45413,47824,42541,45497,46077,45482,43616,48994,41236,41298,42497,44346,43763,42209,40964,40699,40393,41474,41871
1,Male,36,1,6,2,NW,39488,45858,41278,47486,40987,42420,50280,44481,49385,46390,48660,44319,45974,41548,42718,43765,42515,44079,39616,37122,38283,42475
1,Male,37,1,6,2,NW,40960,38793,39039,42791,46584,42847,43262,43056,50218,45647,43701,43323,44222,43558,44377,42916,44116,42434,40382,44249,43738,44256
1,Male,38,1,6,2,NW,38402,39473,39427,44959,46145,41398,44780,44563,45443,46353,47148,48198,44448,45445,44707,41634,42114,44122,41087,39721,38672,41612
1,Male,39,1,6,2,NW,39515,39973,39086,44459,39391,46875,41864,46076,43836,47404,46792,47113,48197,46454,42302,44465,45909,41473,41954,40898,39408,38177
1,Male,40,1,6,2,NW,39681,41874,42521,43628,43241,43106,42002,42745,44875,49227,46560,48520,45191,45452,47435,43773,41916,45033,41960,41479,41505,42235
1,Male,41,1,6,2,NW,34328,37869,40254,42342,38474,42265,46927,48918,42197,41929,42270,45900,45326,45221,43931,43154,42289,42619,46944,42105,44149,40120
1,Male,42,1,6,2,NW,37692,38551,43725,39204,40354,43992,45305,41107,46795,42322,40391,42183,45710,44541,52872,44328,43380,42837,41884,41717,49457,48297
1,Male,43,1,6,2,NW,35440,35456,34554,39431,38397,38496,40185,39968,40211,45539,49696,41627,43725,43246,46302,45650,44701,43746,44915,40802,46224,43538
1,Male,44,1,6,2,NW,37299,35992,36581,35347,37095,44217,41614,38653,39458,41989,44648,48437,42094,46735,47250,48209,49936,48892,48415,47479,48143,43124
1,Male,45,1,7,2,NW,40538,37038,38614,35060,40760,37870,38918,39049,41626,38682,39000,48473,41571,45557,43973,44250,47043,46986,47238,44340,42672,40897
1,Male,46,1,7,2,NW,44005,40021,37156,43465,36033,36142,37590,45057,43391,41567,38716,39825,45297,48400,44722,42430,46363,43845,45722,46333,43387,49043
1,Male,47,1,7,2,NW,47907,41251,40339,42230,36555,40730,35391,37610,38279,38943,46135,47949,42180,42133,41136,41536,47172,45875,45476,46859,43682,43128
1,Male,48,1,7,2,NW,48373,46001,42808,43412,35255,37318,34750,36291,40069,38533,42108,39338,39762,40292,42766,44855,44469,44316,43909,44094,46744,48990
1,Male,49,1,7,2,NW,50888,45847,48601,43603,45743,36431,35227,37915,38090,36694,39990,39245,38650,46049,39707,41613,42236,40470,45131,44003,47956,48483
1,Male,50,1,7,2,NW,49129,46937,46089,49593,44005,40045,36693,37454,35357,39999,39082,40838,42684,41304,40917,39905,43095,44565,42969,45350,44233,49264
1,Male,51,1,7,2,NW,46407,53674,46692,51449,45969,42984,39752,36405,35689,34770,35006,37543,43865,46615,40044,44012,46551,41288,42259,41182,42132,46205
1,Male,52,1,7,2,NW,49663,46263,51431,44941,44945,51568,41298,44320,35362,35024,38761,42347,38768,41276,42111,39449,41069,38713,44554,41532,42383,48201
1,Male,53,1,7,2,NW,46542,50840,46690,46229,44232,49304,45818,43266,44548,36981,35027,33561,36818,38596,40917,43605,39877,40372,45010,41538,42684,41987
1,Male,54,1,7,2,NW,53049,50749,46506,45331,46108,44775,51342,43988,41257,38996,35828,37447,33061,39691,37289,39362,39012,38186,38726,38701,47974,42501
1,Male,55,1,8,2,NW,48206,52442,45113,50624,45784,48167,45947,45971,43199,40927,41556,40106,35079,38908,35956,38156,46252,38263,39520,47028,38335,41430
1,Male,56,1,8,2,NW,47385,53452,48061,46824,45886,44872,51360,43937,47348,43452,43615,40807,37787,35413,33244,35680,36580,44391,38358,38389,47543,41666
1,Male,57,1,8,2,NW,48415,47079,54316,50276,53870,48016,44657,45366,46561,48083,43992,40728,38994,35811,33977,40771,35827,37524,45879,40191,41649,38280
1,Male,58,1,8,2,NW,45167,49536,51041,52636,49288,45129,49762,47700,45733,49907,47960,45152,42488,40084,37369,33982,33936,33586,39680,39600,46287,38817
1,Male,59,1,8,2,NW,44850,48338,48686,49226,49436,47159,45239,49900,51230,45348,48701,46655,42711,44325,38064,40092,36872,33856,36920,41448,42595,45241
1,Male,60,1,8,2,NW,46567,44512,44608,49827,47657,48403,47233,48168,48867,44865,47233,48314,44580,44804,39831,38026,35038,36951,33896,39152,37261,41065
1,Male,61,1,8,2,NW,41837,42139,42613,43863,52060,49095,47872,45462,44244,45743,49568,50044,42614,51917,46892,42017,40728,37952,33485,33863,36822,40338
1,Male,62,1,8,2,NW,44706,41081,41509,48257,49370,48019,49271,47096,46794,49016,45580,49161,44190,43645,44346,43167,39636,46450,38452,37204,32704,34725
1,Male,63,1,8,2,NW,37648,41422,41635,42591,43241,44691,45024,45736,45916,46056,48349,44733,47104,45072,44637,43818,49291,42865,40631,38152,38195,36734
1,Male,64,1,8,2,NW,39091,41602,39387,40118,41072,47267,44285,47061,46559,46039,47511,44613,51154,43638,43913,43694,44308,43948,38965,36777,36433,33580
1,Male,65,1,8,2,NW,39719,36310,40272,43144,41835,42516,41564,43490,46289,50820,45072,43637,42319,43938,43852,42839,44044,42116,40967,40774,40642,33673
1,Male,66,1,8,2,NW,39385,42265,35904,39619,41830,42491,48713,41659,42675,48847,48524,49655,50481,46659,46534,45844,43475,43132,41630,44230,41201,38869
1,Male,67,1,9,2,NW,35572,40412,40692,39133,36684,37634,38783,41479,40666,42758,50027,44120,48477,46792,41616,46974,41406,47221,43118,44411,41607,39900
1,Male,68,1,9,2,NW,37379,36575,38133,39532,34410,37553,42706,41021,38381,39746,44913,43732,42598,44131,44369,40836,46058,45152,42940,44331,43002,40608
1,Male,69,1,9,2,NW,39557,43043,34499,37423,35042,34342,35045,38537,38787,38491,42202,41020,42305,44090,48680,42689,40606,45256,46689,41354,39519,44233
1,Male,70,1,9,2,NW,37025,37676,40905,42138,35708,34746,35533,36316,43552,38890,41197,41699,41075,43588,44791,42971,44898,39911,44851,45756,42590,44537
1,Male,71,1,9,2,NW,39111,36302,34671,37204,37589,35071,35367,33920,33509,37780,36069,41439,37383,41256,40797,42350,41487,44063,39973,40276,42650,39486
1,Male,72,1,9,2,NW,41623,41121,35676,35374,32751,34116,39522,33682,33523,36570,34253,36149,40005,43971,39111,45778,48040,50440,42384,41696,41413,41822
1,Male,73,1,9,2,NW,33715,42125,38862,38751,34996,35766,33038,32790,34737,40008,32363,36835,35696,35036,37954,43228,39989,40001,40292,39480,39313,41179
1,Male,74,1,9,2,NW,35176,37033,39228,37927,35542,33469,34200,31810,31825,32000,31421,31756,33750,37098,38700,35926,41211,38057,47693,39274,37689,38554
1,Male,75,1,9,2,NW,34771,32897,31851,39226,35968,38171,34103,32972,35198,31864,33678,31288,37840,32798,33650,37168,36105,39776,37853,41721,38907,38953
1,Male,76,1,9,2,NW,26419,34274,29583,28019,39529,37354,33696,30295,32155,29011,31930,32442,30294,34868,35639,32949,41652,34058,36356,38455,40559,44912
